Clanice otvorenog jata Hijade za koje je verovatnoca pripadnosti veca od 50%

alfa[h], alfa[m], alfa[s], delta[s], delta[m], delta[s], mV, B-V, mua[mas], mud[mas]
==========================================================================================
4 	 26 	 7.78 	 16 	 3 	 1.10 	 6.59 	 0.53 	 145 	 -20
4 	 26 	 7.99 	 16 	 14 	 15.70 	 14.31 	 1.51 	 104 	 -32
4 	 26 	 21.40 	 15 	 9 	 55.00 	 12.44 	 1.47 	 112 	 -38
4 	 26 	 28.66 	 12 	 15 	 5.80 	 14.65 	 1.64 	 114 	 -9
4 	 26 	 38.91 	 16 	 8 	 11.70 	 10.32 	 1.17 	 108 	 -19
4 	 27 	 2.80 	 16 	 48 	 22.80 	 12.89 	 1.43 	 110 	 -26
4 	 27 	 5.11 	 16 	 33 	 55.00 	 9.10 	 0.85 	 124 	 -34
4 	 27 	 30.42 	 17 	 23 	 33.20 	 14.44 	 1.33 	 103 	 -19
4 	 27 	 43.39 	 15 	 37 	 37.00 	 8.93 	 0.84 	 112 	 -14
4 	 28 	 9.75 	 12 	 11 	 49.40 	 13.98 	 1.50 	 127 	 -19
4 	 28 	 18.71 	 16 	 17 	 22.40 	 14.66 	 1.57 	 119 	 -18
4 	 28 	 30.28 	 16 	 30 	 42.00 	 16.27 	 1.66 	 104 	 -38
4 	 28 	 35.17 	 17 	 36 	 46.10 	 12.43 	 1.22 	 109 	 -33
4 	 28 	 39.97 	 13 	 47 	 50.70 	 7.78 	 0.54 	 126 	 -23
4 	 28 	 43.21 	 17 	 36 	 14.70 	 10.52 	 0.99 	 121 	 -16
4 	 29 	 1.18 	 15 	 23 	 38.20 	 11.04 	 1.31 	 125 	 -25
4 	 29 	 14.15 	 17 	 33 	 33.70 	 14.77 	 1.47 	 98 	 -28
4 	 29 	 29.78 	 17 	 38 	 45.20 	 13.95 	 0.33 	 116 	 -37
4 	 29 	 34.95 	 17 	 47 	 59.30 	 14.80 	 1.55 	 86 	 -28
4 	 29 	 37.15 	 13 	 0 	 29.60 	 11.02 	 1.22 	 114 	 -30
4 	 29 	 58.14 	 11 	 57 	 42.70 	 14.45 	 1.91 	 99 	 -19
4 	 29 	 58.19 	 15 	 54 	 5.40 	 8.94 	 0.88 	 134 	 -19
4 	 30 	 7.79 	 15 	 42 	 52.90 	 8.66 	 0.74 	 128 	 -19
4 	 30 	 38.56 	 12 	 56 	 29.80 	 13.62 	 1.31 	 116 	 -25
4 	 30 	 56.88 	 12 	 36 	 27.60 	 14.18 	 -0.03 	 109 	 -16
4 	 30 	 57.95 	 13 	 8 	 54.40 	 6.62 	 0.43 	 139 	 -28
4 	 31 	 7.62 	 15 	 3 	 37.10 	 8.51 	 0.84 	 128 	 -22
4 	 31 	 15.57 	 14 	 6 	 51.90 	 12.83 	 1.65 	 103 	 -30
4 	 31 	 40.51 	 15 	 43 	 30.10 	 9.69 	 0.91 	 113 	 -24
4 	 31 	 43.96 	 15 	 24 	 8.00 	 7.94 	 0.63 	 142 	 -35
4 	 32 	 16.97 	 13 	 4 	 17.70 	 14.67 	 1.94 	 96 	 -21
4 	 32 	 37.22 	 15 	 17 	 51.90 	 14.61 	 2.54 	 92 	 -21
4 	 32 	 40.94 	 14 	 6 	 38.20 	 14.55 	 1.12 	 107 	 -23
4 	 32 	 59.78 	 13 	 11 	 12.50 	 13.92 	 2.58 	 115 	 -24
